gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
SPARC,13.213114528750001,10.786041068333333,2.4270734604166684,6.250443523166609e-19,1.3597839884648959e-14,13.86653007697444,up
FZD10,7.204577997375,2.6989909351666665,4.505587062208333,7.774130583000256e-17,6.122960286124831e-13,12.213038557414304,up
ERBB3,4.9661401380875,2.875773407966667,2.090366730120833,8.443521424212592e-17,6.122960286124831e-13,12.213038557414304,up
NBPF10,11.09116831875,8.923492148499998,2.1676761702500027,7.320706952388754e-16,3.981549493730434e-12,11.39994788128887,up
MYL5,11.3750345280625,5.006958434166667,6.368076093895833,1.7677401934920606e-15,6.4216621366312955e-12,11.192352547735043,up
IRX5,2.7430493428125002,6.961443528333333,-4.2183941855208325,1.7710858570346023e-15,6.4216621366312955e-12,11.192352547735043,down
GNB4,5.742207453895833,4.4551016281111115,1.2871058257847219,2.566285806235253e-15,7.975649673521133e-12,11.09823393044841,up
CASP1,6.78572052335,4.215426258333333,2.570294265016667,5.498868344604796e-15,1.4953485104609667e-11,10.825257577552964,up
TP53I3,7.794588438,4.278822111666667,3.515766326333333,9.54985185909315e-15,2.3084114132730163e-11,10.636686787114527,up
FMO1,7.1061681580625,3.0767648276666666,4.029403330395834,1.4450027231360076e-14,2.7134057666282545e-11,10.566485256356106,up
PLPP5,4.92658522596875,3.245690627,1.6808945989687496,1.4213487810690025e-14,2.7134057666282545e-11,10.566485256356106,up
TENM1,4.229998955343751,2.861692133083333,1.368306822260418,1.4967073867864424e-14,2.7134057666282545e-11,10.566485256356106,up
LOX,4.912428811708334,2.7437301805,2.1686986312083336,2.240815725050022e-14,3.7499189306510177e-11,10.425978121166013,up
REV3L,8.670226331375002,6.843084829083334,1.827141502291668,3.0968223134351965e-14,4.812240673484479e-11,10.31765266051913,up
LOC101927733,10.0878208790625,8.497988174666666,1.5898327043958336,5.749842835166652e-14,8.007548451660057e-11,10.0965004248496,up
CASP8,3.646302605041667,2.9529382559444444,0.6933643490972226,5.889256503174485e-14,8.007548451660057e-11,10.0965004248496,not_significant
COL6A6,7.138837537156251,2.7846273887499997,4.354210148406251,1.1099426522789125e-13,1.4204001411957496e-10,9.84758929319911,up
PLP1,7.6833071475625,3.4068908935,4.2764162540625,1.3922072736753137e-13,1.5940773283582341e-10,9.797490614894295,up
CD84,3.7746506943359375,2.9793106491249994,0.795340045210938,1.341709499332321e-13,1.5940773283582341e-10,9.797490614894295,not_significant
FAM46A,6.1173264383333334,4.171346178722222,1.9459802596111118,1.5391035955907205e-13,1.6130045108665382e-10,9.792364418078051,up
SLC1A4,5.3404142596875,7.844727420433334,-2.504313160745834,1.557025728715114e-13,1.6130045108665382e-10,9.792364418078051,down
CRISPLD1,7.616745500375,3.3792410333333334,4.237504467041667,1.752545817130651e-13,1.634911563094105e-10,9.786505734562715,up
DOCK8,4.091024572171875,2.798457962666666,1.2925666095052093,1.803625718881109e-13,1.634911563094105e-10,9.786505734562715,up
ABTB2,3.5190323444687497,4.973706181083333,-1.4546738366145835,1.7459301975209565e-13,1.634911563094105e-10,9.786505734562715,down
SPIN4,5.7932808837500005,2.954332583333333,2.8389483004166673,2.1469227009884402e-13,1.8266818555788365e-10,9.73833708504917,up
IFI16,9.618182457770834,7.200184874833333,2.4179975829375007,2.1831178232613075e-13,1.8266818555788365e-10,9.73833708504917,up
CAPZA1,5.8251273434375,5.1607206375,0.6644067059375001,2.2692840238233568e-13,1.8284545903065603e-10,9.737915820901092,not_significant
HACD4,4.1641175155625,2.9093543284999996,1.2547631870625007,2.415529277596229e-13,1.8767799797894987e-10,9.72658663796156,up
EPM2A,6.4215866965,7.302041047777777,-0.8804543512777769,2.8245528197984254e-13,2.1189016067143017e-10,9.67388920971354,not_significant
GPNMB,8.286892967468749,5.769401879083333,2.517491088385416,3.4647696430941944e-13,2.3192105382581496e-10,9.63465982425837,up
SPRED1,6.406360937541667,4.5346115786666665,1.8717493588750003,3.5179934618487217e-13,2.3192105382581496e-10,9.63465982425837,up
TMX3,5.733454141,5.11424156075,0.6192125802500001,3.2447399831803497e-13,2.3192105382581496e-10,9.63465982425837,not_significant
NR1H2,7.252397389375,8.740988913,-1.4885915236250007,3.313002978738193e-13,2.3192105382581496e-10,9.63465982425837,down
FKBP14,5.989465617916666,4.686276032388889,1.303189585527777,3.752340601586405e-13,2.4009461702209484e-10,9.619617576818472,up
