geo_accession,title,source_name_ch1,characteristics_ch1
"""GSM941830""","""control biological rep1""","""control_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941831""","""control biological rep2""","""control_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941832""","""control biological rep3""","""control_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941833""","""control biological rep4""","""control_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941834""","""control biological rep5""","""control_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941835""","""control biological rep6""","""control_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941836""","""DMD biological rep1""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941837""","""DMD biological rep2""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941838""","""DMD biological rep3""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941839""","""DMD biological rep4""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941840""","""DMD biological rep5""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941841""","""DMD biological rep6""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941842""","""DMD biological rep7""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941843""","""DMD biological rep8""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941844""","""DMD biological rep9""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941845""","""DMD biological rep10""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941846""","""DMD biological rep11""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941847""","""DMD biological rep12""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941848""","""DMD biological rep13""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941849""","""DMD biological rep14""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941850""","""DMD biological rep15""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
"""GSM941851""","""DMD biological rep16""","""DMD_muscle biopsy""","""tissue: skeletal muscle"""
